Type,Datetime,Account,Amount,Value,Rate,Fee,Sub Type
Market,"Feb. 18, 2019, 04:34 PM",Main Account,0.05401952 BTC,186.69 EUR,3456.00 EUR,0.47000 EUR,Sell
Market,"Feb. 23, 2019, 06:04 PM",Main Account,0.04830000 BTC,175.72 EUR,3638.00 EUR,0.44000 EUR,Sell
Market,"Feb. 23, 2019, 06:04 PM",Main Account,0.00702996 BTC,25.57 EUR,3638.00 EUR,0.07000 EUR,Sell
Market,"Feb. 24, 2019, 02:12 PM",Main Account,0.05503077 BTC,190.19 EUR,3456.00 EUR,0.48000 EUR,Buy
Market,"Feb. 24, 2019, 02:16 PM",Main Account,0.06000000 BTC,196.98 EUR,3283.00 EUR,0.50000 EUR,Buy
Market,"Mar. 07, 2019, 03:27 PM",Main Account,0.06000000 BTC,207.36 EUR,3456.00 EUR,0.52000 EUR,Sell
Market,"Mar. 29, 2019, 10:07 AM",Main Account,0.05503077 BTC,200.20 EUR,3638.00 EUR,0.51000 EUR,Sell
Market,"Apr. 02, 2019, 04:33 AM",Main Account,0.05000000 BTC,191.50 EUR,3830.00 EUR,0.48000 EUR,Sell
Market,"Apr. 11, 2019, 09:57 PM",Main Account,0.07127720 BTC,318.54 EUR,4469.00 EUR,0.80000 EUR,Buy
Market,"Apr. 18, 2019, 03:45 PM",Main Account,0.07127720 BTC,335.29 EUR,4704.00 EUR,0.84000 EUR,Sell
Market,"Apr. 25, 2019, 10:04 PM",Main Account,0.05362007 BTC,252.23 EUR,4704.00 EUR,0.64000 EUR,Buy
Market,"May. 03, 2019, 06:25 AM",Main Account,0.05362007 BTC,265.53 EUR,4952.00 EUR,0.67000 EUR,Sell
Market,"May. 11, 2019, 02:12 AM",Main Account,0.07253313 BTC,419.02 EUR,5777.00 EUR,1.05000 EUR,Sell
Market,"May. 11, 2019, 06:11 AM",Main Account,0.07000000 BTC,425.74 EUR,6082.00 EUR,1.07000 EUR,Sell
Market,"May. 11, 2019, 10:31 PM",Main Account,0.07874509 BTC,504.20 EUR,6403.00 EUR,1.27000 EUR,Sell
Market,"May. 11, 2019, 10:31 PM",Main Account,0.00000803 BTC,0.05 EUR,6403.00 EUR,0.01000 EUR,Sell
Market,"May. 12, 2019, 08:04 AM",Main Account,0.03433494 BTC,231.42 EUR,6740.00 EUR,0.58000 EUR,Sell
